race,driver,quali_pos
Circuit Paul Ricard,Yuki Tsunoda,0
Circuit Paul Ricard,Lewis Hamilton,2
Circuit Paul Ricard,Esteban Ocon,11
Circuit Paul Ricard,Fernando Alonso,9
Circuit Paul Ricard,Charles Leclerc,7
Circuit Paul Ricard,Carlos Sainz,5
Circuit Paul Ricard,Lando Norris,8
Circuit Paul Ricard,Daniel Ricciardo,10
Circuit Paul Ricard,Nicholas Latifi,16
Circuit Paul Ricard,Valtteri Bottas,3
Red Bull Ring,George Russell,10
Red Bull Ring,George Russell,8
Red Bull Ring,Pierre Gasly,6
Red Bull Ring,Nikita Mazepin,20
Red Bull Ring,Mick Schumacher,19
Red Bull Ring,Antonio Giovinazzi,15
Red Bull Ring,Kimi Räikkönen,18
Red Bull Ring,Kimi Räikkönen,16
Red Bull Ring,Lance Stroll,9
Red Bull Ring,Sebastian Vettel,14
Red Bull Ring,Sebastian Vettel,11
Red Bull Ring,Max Verstappen,1
Red Bull Ring,Sergio Pérez,4
Red Bull Ring,Sergio Pérez,3
Red Bull Ring,Yuki Tsunoda,11
Red Bull Ring,Yuki Tsunoda,7
Red Bull Ring,Lewis Hamilton,2
Red Bull Ring,Lewis Hamilton,4
Red Bull Ring,Esteban Ocon,17
Red Bull Ring,Fernando Alonso,8
Red Bull Ring,Fernando Alonso,14
Red Bull Ring,Charles Leclerc,7
Red Bull Ring,Charles Leclerc,12
Red Bull Ring,Carlos Sainz,12
Red Bull Ring,Carlos Sainz,10
Red Bull Ring,Lando Norris,3
Red Bull Ring,Lando Norris,2
Red Bull Ring,Daniel Ricciardo,13
Red Bull Ring,Nicholas Latifi,16
Red Bull Ring,Nicholas Latifi,18
Red Bull Ring,Valtteri Bottas,5
Silverstone Circuit,George Russell,12
Silverstone Circuit,Pierre Gasly,11
Silverstone Circuit,Nikita Mazepin,19
Silverstone Circuit,Mick Schumacher,18
Silverstone Circuit,Antonio Giovinazzi,15
Silverstone Circuit,Kimi Räikkönen,13
Silverstone Circuit,Lance Stroll,14
Silverstone Circuit,Sebastian Vettel,8
Silverstone Circuit,Max Verstappen,1
Silverstone Circuit,Sergio Pérez,0
Silverstone Circuit,Yuki Tsunoda,16
Silverstone Circuit,Lewis Hamilton,2
Silverstone Circuit,Esteban Ocon,9
Silverstone Circuit,Fernando Alonso,7
Silverstone Circuit,Charles Leclerc,4
Silverstone Circuit,Carlos Sainz,10
Silverstone Circuit,Lando Norris,5
Silverstone Circuit,Daniel Ricciardo,6
Silverstone Circuit,Nicholas Latifi,17
Silverstone Circuit,Valtteri Bottas,3
Hungaroring,George Russell,17
Hungaroring,Pierre Gasly,5
Hungaroring,Nikita Mazepin,19
Hungaroring,Mick Schumacher,20
Hungaroring,Antonio Giovinazzi,0
Hungaroring,Kimi Räikkönen,13
Hungaroring,Lance Stroll,12
Hungaroring,Sebastian Vettel,10
Hungaroring,Max Verstappen,3
Hungaroring,Sergio Pérez,4
Hungaroring,Yuki Tsunoda,16
Hungaroring,Lewis Hamilton,1
Hungaroring,Esteban Ocon,8
Hungaroring,Fernando Alonso,9
Hungaroring,Charles Leclerc,7
Hungaroring,Carlos Sainz,15
Hungaroring,Lando Norris,6
Hungaroring,Daniel Ricciardo,11
Hungaroring,Nicholas Latifi,18
Hungaroring,Valtteri Bottas,2
